rank,owner_address,owner_type,ownership_sources,non_custodial_direct_cpal,non_custodial_direct_cpal_raw,attributed_backstop_cpal_equivalent,attributed_backstop_cpal_equivalent_raw,unattributed_backstop_custody_cpal,unattributed_backstop_custody_cpal_raw,flattened_total_cpal,flattened_total_cpal_raw,share_of_total_supply_percent_12dp,backstop_pool_count,backstop_pool_names,backstop_pool_addresses
178,GDOPU76JQIWCEO7K2MWHC6QKI3JTR6DX6KZUQF2KR53MWAEFKL5ZUDFV,account,backstop_attributed,0.0000000,0,822.2644369,8222644369,0.0000000,0,822.2644369,8222644369,0.005628069463,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
179,GB7CKQ6RDEZAG7A2MZU7AQL6FHMKVUSFYZ3FECFHZBYKKJF6HI6JA33S,account,backstop_attributed,0.0000000,0,818.1604773,8181604773,0.0000000,0,818.1604773,8181604773,0.005599979509,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
180,GD6QWNATHU2ZMRPO5KJJ46FWCQ2OXGOMP22GTEUHUO2CIJJM6TQK46FW,account,backstop_attributed,0.0000000,0,817.1447364,8171447364,0.0000000,0,817.1447364,8171447364,0.005593027171,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
181,GD74ZN47X5TTKNBWSLY7W34TH5DHO6HPEBVB37FZZ3KBNOD7RKGAQFMK,account,backstop_attributed,0.0000000,0,811.9132493,8119132493,0.0000000,0,811.9132493,8119132493,0.005557219745,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
182,GCLEXQSBHGXMAQ2VO332GZ74XP7FHFY54AQ63YLKSGJAYZECZKCHB4AT,account,backstop_attributed,0.0000000,0,793.2492123,7932492123,0.0000000,0,793.2492123,7932492123,0.005429471916,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
183,GASAXWRQCKI5RRLBMFMUOV342DY4TKJM6DE6HZMLGOPKMZLKK43MMDXP,account,backstop_attributed,0.0000000,0,786.9959784,7869959784,0.0000000,0,786.9959784,7869959784,0.005386671044,3,Etherfuse|Fixed|Forex,CDMAVJPFXPADND3YRL4BSM3AKZWCTFMX27GLLXCML3PD62HEQS5FPVAI|CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD|CBYOBT7ZCCLQCBUYYIABZLSEGDPEUWXCUXQTZYOG3YBDR7U357D5ZIRF
184,GCGTA4E6CV6HQWHW6X4BBE526ZK2QRRCRBVFUQZ2N6BYH5C4JMO7VOB7,account,backstop_attributed,0.0000000,0,786.3464666,7863464666,0.0000000,0,786.3464666,7863464666,0.005382225397,1,Fixed,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
185,GD6XSMQJ47EHHJOWXQOND5YDVZC37JWZJHYHBKE6QJFSLLJ5KQXM5QS5,account,backstop_attributed,0.0000000,0,769.0607700,7690607700,0.0000000,0,769.0607700,7690607700,0.005263911754,2,Etherfuse|Fixed,CDMAVJPFXPADND3YRL4BSM3AKZWCTFMX27GLLXCML3PD62HEQS5FPVAI|CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD
186,GCAUTOR5KRMXWNYWRRKNFVVHQYTGR6DARBKWL24RKDR7JCVSI6VLJUI3,account,backstop_attributed,0.0000000,0,767.3208333,7673208333,0.0000000,0,767.3208333,7673208333,0.005252002587,2,Fixed|YieldBlox,CAJJZSGMMM3PD7N33TAPHGBUGTB43OC73HVIK2L2G6BNGGGYOSSYBXBD|CCCCIQSDILITHMM7PBSLVDT5MISSY7R26MNZXCX4H7J5JQ5FPIYOGYFS
187,GCROWNS72X3DJ65PLKFT3ATWFCKBR4WLSOGAR6NGKN3NV3I67FINBEAR,account,backstop_attributed,0.0000000,0,748.2033647,7482033647,0.0000000,0,748.2033647,7482033647,0.005121151201,1,YieldBlox,CCCCIQSDILITHMM7PBSLVDT5MISSY7R26MNZXCX4H7J5JQ5FPIYOGYFS
